REPORT_NAME,REPORT_SUB_TYPE,VERSION,DESTINATION_TABLE,TRANSACTION_TYPE,ROW_FILTER_TYPE
ANCILLIARY_SERVICES,CONTRACTAGC,1,CONTRACTAGC,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTLOADSHED,1,CONTRACTLOADSHED,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTLOADSHED,2,CONTRACTLOADSHED,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTREACTIVEPOWER,3,CONTRACTREACTIVEPOWER,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTREACTIVEPOWER,4,CONTRACTREACTIVEPOWER,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTRESTARTSERVICES,1,CONTRACTRESTARTSERVICES,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTRESTARTSERVICES,2,CONTRACTRESTARTSERVICES,INSERT-UPDATE,LASTCHANGED
ANCILLIARY_SERVICES,CONTRACTRESTARTUNITS,1,CONTRACTRESTARTUNITS,INSERT-UPDATE,LASTCHANGED
AP,APEVENT,1,APEVENT,INSERT,
AP,APEVENTREGION,2,APEVENTREGION,INSERT,
AP,APEVENTREGION,1,APEVENTREGION,INSERT,
AP,REGIONAPC,1,REGIONAPC,INSERT,
AP,REGIONAPCINTERVALS,1,REGIONAPCINTERVALS,INSERT,
ASOFFER,OFFERAGCDATA,1,OFFERAGCDATA,INSERT,
ASOFFER,OFFERASTRK,1,OFFERASTRK,INSERT,
ASOFFER,OFFERLSHEDDATA,1,OFFERLSHEDDATA,INSERT,
ASOFFER,OFFERRESTARTDATA,1,OFFERRESTARTDATA,INSERT,
ASOFFER,OFFERRPOWERDATA,1,OFFERRPOWERDATA,INSERT,
BID,BIDDAYOFFER_D,2,BIDDAYOFFER_D,INSERT,
BID,BIDPEROFFER_D,2,BIDPEROFFER_D,INSERT,
BID,MNSP_DAYOFFER,2,MNSP_DAYOFFER,INSERT,
BID,MNSP_DAYOFFER,1,MNSP_DAYOFFER,INSERT,
BID,MNSP_FILETRK,1,MNSP_FILETRK,INSERT,
BID,MNSP_OFFERTRK,1,MNSP_OFFERTRK,INSERT,
BID,MNSP_PEROFFER,1,MNSP_PEROFFER,INSERT,
BIDS,BIDDAYOFFER,1,BIDDAYOFFER,INSERT,
BIDS,BIDOFFERFILETRK,1,BIDOFFERFILETRK,INSERT,
BIDS,BIDOFFERPERIOD,1,BIDOFFERPERIOD,INSERT,
BIDS,MNSP_BIDOFFERPERIOD,1,MNSP_BIDOFFERPERIOD,INSERT,
BIDS,MNSP_DAYOFFER,1,MNSP_DAYOFFER,INSERT,
BILLING,APC_COMPENSATION,2,BILLING_APC_COMPENSATION,INSERT,
BILLING,APC_RECOVERY,2,BILLING_APC_RECOVERY,INSERT,
BILLING,ASPAYMENTS,7,BILLINGASPAYMENTS,INSERT,
BILLING,ASPAYMENTS,6,BILLINGASPAYMENTS,INSERT,
BILLING,ASRECOVERY,8,BILLINGASRECOVERY,INSERT,
BILLING,ASRECOVERY,7,BILLINGASRECOVERY,INSERT,
BILLING,BILLING_CO2E_PUBLICATION,1,BILLING_CO2E_PUBLICATION,INSERT,
BILLING,BILLING_CO2E_PUBLICATION_TRK,1,BILLING_CO2E_PUBLICATION_TRK,INSERT-UPDATE,LASTCHANGED
BILLING,BILLING_DIRECTION_RECON_OTHER,1,BILLING_DIRECTION_RECON_OTHER,INSERT,
BILLING,CPDATA,6,BILLINGCPDATA,INSERT,
BILLING,CPDATA,7,BILLINGCPDATA,INSERT,
BILLING,DAILY_ENERGY_SUMMARY,1,BILLING_DAILY_ENERGY_SUMMARY,INSERT,
BILLING,DAYTRK,5,BILLINGDAYTRK,INSERT,
BILLING,DIR_FINAL_AMOUNT,1,BILLING_DIR_FINAL_AMOUNT,INSERT,
BILLING,DIR_FINAL_RECOVERY,1,BILLING_DIR_FINAL_RECOVERY,INSERT,
BILLING,DIR_PROV_AMOUNT,1,BILLING_DIR_PROV_AMOUNT,INSERT,
BILLING,DIR_PROV_RECOVERY,1,BILLING_DIR_PROV_RECOVERY,INSERT,
BILLING,DIR_RECOVERY_DETAIL,1,BILLING_DIR_RECOVERY_DETAIL,INSERT,
BILLING,EFTSHORTFALL_AMOUNT,1,BILLING_EFTSHORTFALL_AMOUNT,INSERT,
BILLING,EFTSHORTFALL_DETAIL,1,BILLING_EFTSHORTFALL_DETAIL,INSERT,
BILLING,ENERGY_TRAN_SAPS,1,BILLING_ENERGY_TRAN_SAPS,INSERT,
BILLING,FEES,5,BILLINGFEES,INSERT,
BILLING,FINANCIALADJUSTMENTS,5,BILLINGFINANCIALADJUSTMENTS,INSERT,
BILLING,GENDATA,5,BILLINGGENDATA,INSERT,
BILLING,GST_DETAIL,5,BILLING_GST_DETAIL,INSERT,
BILLING,GST_SUMMARY,5,BILLING_GST_SUMMARY,INSERT,
BILLING,INTERRESIDUES,5,BILLINGINTERRESIDUES,INSERT,
BILLING,INTRARESIDUES,5,BILLINGINTRARESIDUES,INSERT,
BILLING,IRAUCSURPLUS,5,BILLINGIRAUCSURPLUS,INSERT,
BILLING,IRAUCSURPLUSSUM,7,BILLINGIRAUCSURPLUSSUM,INSERT,
BILLING,IRNSPSURPLUS,5,BILLINGIRNSPSURPLUS,INSERT,
BILLING,IRNSPSURPLUSSUM,6,BILLINGIRNSPSURPLUSSUM,INSERT,
BILLING,IRPARTSURPLUS,5,BILLINGIRPARTSURPLUS,INSERT,
BILLING,IRPARTSURPLUSSUM,7,BILLINGIRPARTSURPLUSSUM,INSERT,
BILLING,NMAS_TST_PAYMENTS,1,BILLING_NMAS_TST_PAYMENTS,INSERT,
BILLING,NMAS_TST_RECOVERY,1,BILLING_NMAS_TST_RECOVERY,INSERT,
BILLING,NMAS_TST_RECVRY_RBF,1,BILLING_NMAS_TST_RECVRY_RBF,INSERT,
BILLING,NMAS_TST_RECVRY_TRK,1,BILLING_NMAS_TST_RECVRY_TRK,INSERT,
BILLING,PRIORADJUSTMENTS,5,BILLINGPRIORADJUSTMENTS,INSERT,
BILLING,REALLOC,5,BILLINGREALLOC,INSERT,
BILLING,REALLOC_DETAIL,5,BILLINGREALLOC_DETAIL,INSERT,
BILLING,REGIONEXPORTS,5,BILLINGREGIONEXPORTS,INSERT,
BILLING,REGIONFIGURES,6,BILLINGREGIONFIGURES,INSERT,
