MMSDM_PACKAGE_NAME,MMSDM_TABLE_NAME,PDR_REPORT_NAME,PDR_REPORT_SUB_TYPE,PDR_REPORT_VERSION,PDR_REPORT_TRANSACTION_TYPE,PDR_REPORT_ROW_FILTER_TYPE
ANCILLARY_SERVICES,CONTRACTAGC,ANCILLIARY_SERVICES,CONTRACTAGC,1,INSERT-UPDATE,LASTCHANGED
ANCILLARY_SERVICES,CONTRACTLOADSHED,ANCILLIARY_SERVICES,CONTRACTLOADSHED,2,INSERT-UPDATE,LASTCHANGED
ANCILLARY_SERVICES,CONTRACTREACTIVEPOWER,ANCILLIARY_SERVICES,CONTRACTREACTIVEPOWER,4,INSERT-UPDATE,LASTCHANGED
ANCILLARY_SERVICES,CONTRACTRESTARTSERVICES,ANCILLIARY_SERVICES,CONTRACTRESTARTSERVICES,2,INSERT-UPDATE,LASTCHANGED
ANCILLARY_SERVICES,CONTRACTRESTARTUNITS,ANCILLIARY_SERVICES,CONTRACTRESTARTUNITS,1,INSERT-UPDATE,LASTCHANGED
ASOFFER,OFFERAGCDATA,ASOFFER,OFFERAGCDATA,1,INSERT,
ASOFFER,OFFERASTRK,ASOFFER,OFFERASTRK,1,INSERT,
ASOFFER,OFFERLSHEDDATA,ASOFFER,OFFERLSHEDDATA,1,INSERT,
ASOFFER,OFFERRESTARTDATA,ASOFFER,OFFERRESTARTDATA,1,INSERT,
ASOFFER,OFFERRPOWERDATA,ASOFFER,OFFERRPOWERDATA,1,INSERT,
BIDS,BIDDAYOFFER,OFFER,BIDDAYOFFER,2,INSERT,
BIDS,BIDDAYOFFER,BIDS,BIDDAYOFFER,1,INSERT,
BIDS,BIDDAYOFFER,BIDS,BIDDAYOFFER,1,INSERT,
BIDS,BIDDAYOFFER,BIDS,BIDDAYOFFER,1,INSERT,
BIDS,BIDOFFERFILETRK,OFFER,BIDOFFERFILETRK,1,INSERT,
BIDS,BIDOFFERFILETRK,BIDS,BIDOFFERFILETRK,1,INSERT,
BIDS,BIDOFFERPERIOD,BIDS,BIDOFFERPERIOD,1,INSERT,
BIDS,BIDOFFERPERIOD,BIDS,BIDOFFERPERIOD,1,INSERT,
BIDS,BIDOFFERPERIOD,BIDS,BIDOFFERPERIOD,1,INSERT,
BIDS,BIDPEROFFER,OFFER,BIDPEROFFER,1,INSERT,
BIDS,MNSP_BIDOFFERPERIOD,BIDS,MNSP_BIDOFFERPERIOD,1,INSERT,
BIDS,MNSP_BIDOFFERPERIOD,BIDS,MNSP_BIDOFFERPERIOD,1,INSERT,
BIDS,MNSP_DAYOFFER,BID,MNSP_DAYOFFER,2,INSERT,
